분류,회사,키워드,키워드유형,활성화,비고
North America,Studio Movie Grill,earnings,common,1,
North America,Studio Movie Grill,premium format,common,1,
North America,Studio Movie Grill,covenant,재무,1,
North America,National Amusements,news,common,1,
North America,National Amusements,press release,common,1,
North America,National Amusements,CinemaCon,common,1,
North America,National Amusements,opening,common,1,
North America,National Amusements,launch,common,1,
North America,National Amusements,expansion,common,1,
North America,National Amusements,partnership,common,1,
North America,National Amusements,earnings,common,1,
North America,National Amusements,premium format,common,1,
North America,National Amusements,restructuring,재무,1,
North America,Celebration Cinema,news,common,1,
North America,Celebration Cinema,press release,common,1,
North America,Celebration Cinema,CinemaCon,common,1,
North America,Celebration Cinema,opening,common,1,
North America,Celebration Cinema,launch,common,1,
North America,Celebration Cinema,expansion,common,1,
North America,Celebration Cinema,partnership,common,1,
North America,Celebration Cinema,earnings,common,1,
North America,Celebration Cinema,premium format,common,1,
North America,Celebration Cinema,bankruptcy,재무,1,
North America,Goodrich Quality Theaters,news,common,1,
North America,Goodrich Quality Theaters,press release,common,1,
North America,Goodrich Quality Theaters,CinemaCon,common,1,
North America,Goodrich Quality Theaters,opening,common,1,
North America,Goodrich Quality Theaters,launch,common,1,
North America,Goodrich Quality Theaters,expansion,common,1,
North America,Goodrich Quality Theaters,partnership,common,1,
North America,Goodrich Quality Theaters,earnings,common,1,
North America,Goodrich Quality Theaters,premium format,common,1,
North America,Goodrich Quality Theaters,Chapter 11,재무,1,
North America,Marcus BistroPlex,news,common,1,
North America,Marcus BistroPlex,press release,common,1,
North America,Marcus BistroPlex,CinemaCon,common,1,
North America,Marcus BistroPlex,opening,common,1,
North America,Marcus BistroPlex,launch,common,1,
North America,Marcus BistroPlex,expansion,common,1,
North America,Marcus BistroPlex,partnership,common,1,
North America,Marcus BistroPlex,earnings,common,1,
North America,Marcus BistroPlex,premium format,common,1,
North America,Marcus BistroPlex,going concern,재무,1,
Europe,ODEON Cinemas Group,news,common,1,
Europe,ODEON Cinemas Group,press release,common,1,
Europe,ODEON Cinemas Group,CinemaCon,common,1,
Europe,ODEON Cinemas Group,opening,common,1,
Europe,ODEON Cinemas Group,launch,common,1,
Europe,ODEON Cinemas Group,expansion,common,1,
Europe,ODEON Cinemas Group,partnership,common,1,
Europe,ODEON Cinemas Group,earnings,common,1,
Europe,ODEON Cinemas Group,premium format,common,1,
Europe,ODEON Cinemas Group,box office,운영,1,
Europe,Cineworld,news,common,1,
Europe,Cineworld,press release,common,1,
Europe,Cineworld,CinemaCon,common,1,
Europe,Cineworld,opening,common,1,
Europe,Cineworld,launch,common,1,
Europe,Cineworld,expansion,common,1,
Europe,Cineworld,partnership,common,1,
Europe,Cineworld,earnings,common,1,
Europe,Cineworld,premium format,common,1,
Europe,Cineworld,attendance,운영,1,
Europe,Vue International,news,common,1,
Europe,Vue International,press release,common,1,
Europe,Vue International,CinemaCon,common,1,
Europe,Vue International,opening,common,1,
Europe,Vue International,launch,common,1,
Europe,Vue International,expansion,common,1,
Europe,Vue International,partnership,common,1,
Europe,Vue International,earnings,common,1,
Europe,Vue International,premium format,common,1,
Europe,Vue International,admissions,운영,1,
Europe,Pathé Cinémas,news,common,1,
Europe,Pathé Cinémas,press release,common,1,
Europe,Pathé Cinémas,CinemaCon,common,1,
Europe,Pathé Cinémas,opening,common,1,
Europe,Pathé Cinémas,launch,common,1,
Europe,Pathé Cinémas,expansion,common,1,
Europe,Pathé Cinémas,partnership,common,1,
Europe,Pathé Cinémas,earnings,common,1,
Europe,Pathé Cinémas,premium format,common,1,
Europe,Pathé Cinémas,ATP,운영,1,
Europe,CGR Cinémas,news,common,1,
Europe,CGR Cinémas,press release,common,1,
Europe,CGR Cinémas,CinemaCon,common,1,
Europe,CGR Cinémas,opening,common,1,
Europe,CGR Cinémas,launch,common,1,
Europe,CGR Cinémas,expansion,common,1,
Europe,CGR Cinémas,partnership,common,1,
Europe,CGR Cinémas,earnings,common,1,
Europe,CGR Cinémas,premium format,common,1,
Europe,CGR Cinémas,average ticket price,운영,1,
Europe,Kinepolis,news,common,1,
Europe,Kinepolis,press release,common,1,
Europe,Kinepolis,CinemaCon,common,1,
Europe,Kinepolis,opening,common,1,
Europe,Kinepolis,launch,common,1,
Europe,Kinepolis,expansion,common,1,
Europe,Kinepolis,partnership,common,1,
Europe,Kinepolis,earnings,common,1,
Europe,Kinepolis,premium format,common,1,
Europe,Kinepolis,concession,운영,1,
Europe,UGC,news,common,1,
Europe,UGC,press release,common,1,
Europe,UGC,CinemaCon,common,1,
Europe,UGC,opening,common,1,
Europe,UGC,launch,common,1,
Europe,UGC,expansion,common,1,
Europe,UGC,partnership,common,1,
Europe,UGC,earnings,common,1,
Europe,UGC,premium format,common,1,
Europe,UGC,food and beverage,운영,1,
Europe,Cine Yelmo,news,common,1,
Europe,Cine Yelmo,press release,common,1,
Europe,Cine Yelmo,CinemaCon,common,1,
Europe,Cine Yelmo,opening,common,1,
Europe,Cine Yelmo,launch,common,1,
Europe,Cine Yelmo,expansion,common,1,
Europe,Cine Yelmo,partnership,common,1,
Europe,Cine Yelmo,earnings,common,1,
Europe,Cine Yelmo,premium format,common,1,
Europe,Cine Yelmo,occupancy,운영,1,
Europe,Cineplex Deutschland,news,common,1,
Europe,Cineplex Deutschland,press release,common,1,
Europe,Cineplex Deutschland,CinemaCon,common,1,
Europe,Cineplex Deutschland,opening,common,1,
Europe,Cineplex Deutschland,launch,common,1,
Europe,Cineplex Deutschland,expansion,common,1,
Europe,Cineplex Deutschland,partnership,common,1,
Europe,Cineplex Deutschland,earnings,common,1,
Europe,Cineplex Deutschland,premium format,common,1,
Europe,Cineplex Deutschland,load factor,운영,1,
Europe,Cinema City,news,common,1,
Europe,Cinema City,press release,common,1,
Europe,Cinema City,CinemaCon,common,1,
Europe,Cinema City,opening,common,1,
Europe,Cinema City,launch,common,1,
Europe,Cinema City,expansion,common,1,
Europe,Cinema City,partnership,common,1,
Europe,Cinema City,earnings,common,1,
Europe,Cinema City,premium format,common,1,
Europe,Cinema City,per patron spending,운영,1,
Europe,Picturehouse,news,common,1,
Europe,Picturehouse,press release,common,1,
Europe,Picturehouse,CinemaCon,common,1,
Europe,Picturehouse,opening,common,1,
Europe,Picturehouse,launch,common,1,
Europe,Picturehouse,expansion,common,1,
Europe,Picturehouse,partnership,common,1,
Europe,Picturehouse,earnings,common,1,
Europe,Picturehouse,premium format,common,1,
Europe,Picturehouse,alternative content,운영,1,
Europe,Curzon,news,common,1,
Europe,Curzon,press release,common,1,
Europe,Curzon,CinemaCon,common,1,
Europe,Curzon,opening,common,1,
Europe,Curzon,launch,common,1,
Europe,Curzon,expansion,common,1,
Europe,Curzon,partnership,common,1,
Europe,Curzon,earnings,common,1,
Europe,Curzon,premium format,common,1,
Europe,Curzon,concert,운영,1,
Europe,Everyman Cinemas,news,common,1,
Europe,Everyman Cinemas,press release,common,1,
Europe,Everyman Cinemas,CinemaCon,common,1,
Europe,Everyman Cinemas,opening,common,1,
Europe,Everyman Cinemas,launch,common,1,
Europe,Everyman Cinemas,expansion,common,1,
Europe,Everyman Cinemas,partnership,common,1,
Europe,Everyman Cinemas,earnings,common,1,
Europe,Everyman Cinemas,premium format,common,1,
Europe,Everyman Cinemas,live event,운영,1,
Europe,mk2,news,common,1,
Europe,mk2,press release,common,1,
Europe,mk2,CinemaCon,common,1,
Europe,mk2,opening,common,1,
Europe,mk2,launch,common,1,
Europe,mk2,expansion,common,1,
Europe,mk2,partnership,common,1,
Europe,mk2,earnings,common,1,
Europe,mk2,premium format,common,1,
Europe,mk2,event cinema,운영,1,
Europe,Kinopolis,news,common,1,
Europe,Kinopolis,press release,common,1,
Europe,Kinopolis,CinemaCon,common,1,
Europe,Kinopolis,opening,common,1,
Europe,Kinopolis,launch,common,1,
Europe,Kinopolis,expansion,common,1,
Europe,Kinopolis,partnership,common,1,
Europe,Kinopolis,earnings,common,1,
Europe,Kinopolis,premium format,common,1,
Europe,Kinopolis,opening,투자/확장,1,
Europe,The Space Cinema,news,common,1,
Europe,The Space Cinema,press release,common,1,
Europe,The Space Cinema,CinemaCon,common,1,
Europe,The Space Cinema,opening,common,1,
Europe,The Space Cinema,launch,common,1,
Europe,The Space Cinema,expansion,common,1,
Europe,The Space Cinema,partnership,common,1,
Europe,The Space Cinema,earnings,common,1,
Europe,The Space Cinema,premium format,common,1,
Europe,The Space Cinema,opened,투자/확장,1,
Europe,Multikino,news,common,1,
Europe,Multikino,press release,common,1,
Europe,Multikino,CinemaCon,common,1,
Europe,Multikino,opening,common,1,
Europe,Multikino,launch,common,1,
Europe,Multikino,expansion,common,1,
Europe,Multikino,partnership,common,1,
Europe,Multikino,earnings,common,1,
Europe,Multikino,premium format,common,1,
Europe,Multikino,expansion,투자/확장,1,
Europe,Helios,news,common,1,
Europe,Helios,press release,common,1,
Europe,Helios,CinemaCon,common,1,
Europe,Helios,opening,common,1,
Europe,Helios,launch,common,1,
Europe,Helios,expansion,common,1,
Europe,Helios,partnership,common,1,
Europe,Helios,earnings,common,1,
Europe,Helios,premium format,common,1,
Europe,Helios,rollout,투자/확장,1,
Europe,Nordisk Film Biografer,news,common,1,
Europe,Nordisk Film Biografer,press release,common,1,
Europe,Nordisk Film Biografer,CinemaCon,common,1,
Europe,Nordisk Film Biografer,opening,common,1,
Europe,Nordisk Film Biografer,launch,common,1,
Europe,Nordisk Film Biografer,expansion,common,1,
Europe,Nordisk Film Biografer,partnership,common,1,
Europe,Nordisk Film Biografer,earnings,common,1,
Europe,Nordisk Film Biografer,premium format,common,1,
Europe,Nordisk Film Biografer,partnership,투자/확장,1,
Europe,Filmstaden,news,common,1,
Europe,Filmstaden,press release,common,1,
Europe,Filmstaden,CinemaCon,common,1,
Europe,Filmstaden,opening,common,1,
Europe,Filmstaden,launch,common,1,
Europe,Filmstaden,expansion,common,1,
Europe,Filmstaden,partnership,common,1,
Europe,Filmstaden,earnings,common,1,
Europe,Filmstaden,premium format,common,1,
Europe,Filmstaden,signed,투자/확장,1,
Europe,Finnkino,news,common,1,
Europe,Finnkino,press release,common,1,
Europe,Finnkino,CinemaCon,common,1,
Europe,Finnkino,opening,common,1,
Europe,Finnkino,launch,common,1,
Europe,Finnkino,expansion,common,1,
Europe,Finnkino,partnership,common,1,
Europe,Finnkino,earnings,common,1,
Europe,Finnkino,premium format,common,1,
Europe,Finnkino,acquisition,투자/확장,1,
Europe,Cinesa,news,common,1,
Europe,Cinesa,press release,common,1,
Europe,Cinesa,CinemaCon,common,1,
Europe,Cinesa,opening,common,1,
Europe,Cinesa,launch,common,1,
Europe,Cinesa,expansion,common,1,
Europe,Cinesa,partnership,common,1,
Europe,Cinesa,earnings,common,1,
Europe,Cinesa,premium format,common,1,
Europe,Cinesa,renovation,투자/확장,1,
Europe,UCI Cinemas,news,common,1,
Europe,UCI Cinemas,press release,common,1,
Europe,UCI Cinemas,CinemaCon,common,1,
Europe,UCI Cinemas,opening,common,1,
Europe,UCI Cinemas,launch,common,1,
Europe,UCI Cinemas,expansion,common,1,
Europe,UCI Cinemas,partnership,common,1,
Europe,UCI Cinemas,earnings,common,1,
Europe,UCI Cinemas,premium format,common,1,
Europe,UCI Cinemas,upgrade,투자/확장,1,
Europe,Ster-Kinekor Europe Seed,news,common,1,
Europe,Ster-Kinekor Europe Seed,press release,common,1,
Europe,Ster-Kinekor Europe Seed,CinemaCon,common,1,
Europe,Ster-Kinekor Europe Seed,opening,common,1,
Europe,Ster-Kinekor Europe Seed,launch,common,1,
Europe,Ster-Kinekor Europe Seed,expansion,common,1,
Europe,Ster-Kinekor Europe Seed,partnership,common,1,
Europe,Ster-Kinekor Europe Seed,earnings,common,1,
Europe,Ster-Kinekor Europe Seed,premium format,common,1,
Europe,Ster-Kinekor Europe Seed,recliner,투자/확장,1,
Europe,Paribu Cineverse,news,common,1,
Europe,Paribu Cineverse,press release,common,1,
Europe,Paribu Cineverse,CinemaCon,common,1,
Europe,Paribu Cineverse,opening,common,1,
Europe,Paribu Cineverse,launch,common,1,
Europe,Paribu Cineverse,expansion,common,1,
Europe,Paribu Cineverse,partnership,common,1,
Europe,Paribu Cineverse,earnings,common,1,
Europe,Paribu Cineverse,premium format,common,1,
Europe,Paribu Cineverse,premium large format,투자/확장,1,
Europe,Yes Planet,news,common,1,
Europe,Yes Planet,press release,common,1,
Europe,Yes Planet,CinemaCon,common,1,
Europe,Yes Planet,opening,common,1,
Europe,Yes Planet,launch,common,1,
Europe,Yes Planet,expansion,common,1,
Europe,Yes Planet,partnership,common,1,
Europe,Yes Planet,earnings,common,1,
Europe,Yes Planet,premium format,common,1,
Europe,Yes Planet,PLF,투자/확장,1,
Europe,Forum Cinemas,news,common,1,
Europe,Forum Cinemas,press release,common,1,
Europe,Forum Cinemas,CinemaCon,common,1,
Europe,Forum Cinemas,opening,common,1,
Europe,Forum Cinemas,launch,common,1,
Europe,Forum Cinemas,expansion,common,1,
Europe,Forum Cinemas,partnership,common,1,
Europe,Forum Cinemas,earnings,common,1,
Europe,Forum Cinemas,premium format,common,1,
Europe,Forum Cinemas,IMAX,포맷,1,
Europe,Apollo Kino,news,common,1,
Europe,Apollo Kino,press release,common,1,
Europe,Apollo Kino,CinemaCon,common,1,
Europe,Apollo Kino,opening,common,1,
Europe,Apollo Kino,launch,common,1,
Europe,Apollo Kino,expansion,common,1,
Europe,Apollo Kino,partnership,common,1,
Europe,Apollo Kino,earnings,common,1,
Europe,Apollo Kino,premium format,common,1,
Europe,Apollo Kino,Dolby Cinema,포맷,1,
Europe,CineStar,news,common,1,
Europe,CineStar,press release,common,1,
Europe,CineStar,CinemaCon,common,1,
Europe,CineStar,opening,common,1,
Europe,CineStar,launch,common,1,
Europe,CineStar,expansion,common,1,
Europe,CineStar,partnership,common,1,
Europe,CineStar,earnings,common,1,
Europe,CineStar,premium format,common,1,
Europe,CineStar,ScreenX,포맷,1,
Europe,Palace Cinemas Europe Seed,news,common,1,
Europe,Palace Cinemas Europe Seed,press release,common,1,
Europe,Palace Cinemas Europe Seed,CinemaCon,common,1,
Europe,Palace Cinemas Europe Seed,opening,common,1,
Europe,Palace Cinemas Europe Seed,launch,common,1,
Europe,Palace Cinemas Europe Seed,expansion,common,1,
Europe,Palace Cinemas Europe Seed,partnership,common,1,
Europe,Palace Cinemas Europe Seed,earnings,common,1,
Europe,Palace Cinemas Europe Seed,premium format,common,1,
Europe,Palace Cinemas Europe Seed,4DX,포맷,1,
Latin America,Cinépolis,news,common,1,
Latin America,Cinépolis,press release,common,1,
Latin America,Cinépolis,CinemaCon,common,1,
Latin America,Cinépolis,opening,common,1,
Latin America,Cinépolis,launch,common,1,
Latin America,Cinépolis,expansion,common,1,
Latin America,Cinépolis,partnership,common,1,
Latin America,Cinépolis,earnings,common,1,
Latin America,Cinépolis,premium format,common,1,
Latin America,Cinépolis,D-BOX,포맷,1,
Latin America,Cinemark,news,common,1,
Latin America,Cinemark,press release,common,1,
Latin America,Cinemark,CinemaCon,common,1,
Latin America,Cinemark,opening,common,1,
Latin America,Cinemark,launch,common,1,
Latin America,Cinemark,expansion,common,1,
Latin America,Cinemark,partnership,common,1,
Latin America,Cinemark,earnings,common,1,
Latin America,Cinemark,premium format,common,1,
Latin America,Cinemark,XD,포맷,1,
Latin America,Cinemex,news,common,1,
Latin America,Cinemex,press release,common,1,
Latin America,Cinemex,CinemaCon,common,1,
Latin America,Cinemex,opening,common,1,
Latin America,Cinemex,launch,common,1,
Latin America,Cinemex,expansion,common,1,
Latin America,Cinemex,partnership,common,1,
Latin America,Cinemex,earnings,common,1,
Latin America,Cinemex,premium format,common,1,
Latin America,Cinemex,RPX,포맷,1,
Latin America,Cinemark Hoyts,news,common,1,
Latin America,Cinemark Hoyts,press release,common,1,
Latin America,Cinemark Hoyts,CinemaCon,common,1,
Latin America,Cinemark Hoyts,opening,common,1,
Latin America,Cinemark Hoyts,launch,common,1,
Latin America,Cinemark Hoyts,expansion,common,1,
Latin America,Cinemark Hoyts,partnership,common,1,
Latin America,Cinemark Hoyts,earnings,common,1,
Latin America,Cinemark Hoyts,premium format,common,1,
Latin America,Cinemark Hoyts,ICE,포맷,1,
Latin America,Cine Colombia,news,common,1,
Latin America,Cine Colombia,press release,common,1,
Latin America,Cine Colombia,CinemaCon,common,1,
Latin America,Cine Colombia,opening,common,1,
Latin America,Cine Colombia,launch,common,1,
Latin America,Cine Colombia,expansion,common,1,
Latin America,Cine Colombia,partnership,common,1,
Latin America,Cine Colombia,earnings,common,1,
Latin America,Cine Colombia,premium format,common,1,
Latin America,Cine Colombia,VIP,포맷,1,
Latin America,Royal Films,news,common,1,
Latin America,Royal Films,press release,common,1,
Latin America,Royal Films,CinemaCon,common,1,
Latin America,Royal Films,opening,common,1,
Latin America,Royal Films,launch,common,1,
Latin America,Royal Films,expansion,common,1,
Latin America,Royal Films,partnership,common,1,
Latin America,Royal Films,earnings,common,1,
Latin America,Royal Films,premium format,common,1,
Latin America,Royal Films,premium format,포맷,1,
Latin America,Procinal,news,common,1,
Latin America,Procinal,press release,common,1,
Latin America,Procinal,CinemaCon,common,1,
Latin America,Procinal,opening,common,1,
Latin America,Procinal,launch,common,1,
Latin America,Procinal,expansion,common,1,
Latin America,Procinal,partnership,common,1,
Latin America,Procinal,earnings,common,1,
Latin America,Procinal,premium format,common,1,
Latin America,Procinal,premium screen,포맷,1,
Latin America,Caribbean Cinemas,news,common,1,
Latin America,Caribbean Cinemas,press release,common,1,
Latin America,Caribbean Cinemas,CinemaCon,common,1,
Latin America,Caribbean Cinemas,opening,common,1,
Latin America,Caribbean Cinemas,launch,common,1,
Latin America,Caribbean Cinemas,expansion,common,1,
Latin America,Caribbean Cinemas,partnership,common,1,
Latin America,Caribbean Cinemas,earnings,common,1,
Latin America,Caribbean Cinemas,premium format,common,1,
Latin America,Caribbean Cinemas,immersive cinema,포맷,1,
Latin America,Kinoplex,news,common,1,
Latin America,Kinoplex,press release,common,1,
Latin America,Kinoplex,CinemaCon,common,1,
Latin America,Kinoplex,opening,common,1,
Latin America,Kinoplex,launch,common,1,
Latin America,Kinoplex,expansion,common,1,
Latin America,Kinoplex,partnership,common,1,
Latin America,Kinoplex,earnings,common,1,
Latin America,Kinoplex,premium format,common,1,
Latin America,Cines Unidos,news,common,1,
Latin America,Cines Unidos,press release,common,1,
Latin America,Cines Unidos,CinemaCon,common,1,
Latin America,Cines Unidos,opening,common,1,
Latin America,Cines Unidos,launch,common,1,
Latin America,Cines Unidos,expansion,common,1,
Latin America,Cines Unidos,partnership,common,1,
Latin America,Cines Unidos,earnings,common,1,
Latin America,Cines Unidos,premium format,common,1,
Latin America,UVK Multicines,news,common,1,
Latin America,UVK Multicines,press release,common,1,
Latin America,UVK Multicines,CinemaCon,common,1,
Latin America,UVK Multicines,opening,common,1,
Latin America,UVK Multicines,launch,common,1,
Latin America,UVK Multicines,expansion,common,1,
Latin America,UVK Multicines,partnership,common,1,
Latin America,UVK Multicines,earnings,common,1,
Latin America,UVK Multicines,premium format,common,1,
Latin America,Cineplanet,news,common,1,
Latin America,Cineplanet,press release,common,1,
Latin America,Cineplanet,CinemaCon,common,1,
